,title,upload_date,view_count,tempo_desde_pub,y,p
318,Mindset /w Killa Keim (From DownTown) | BBOY.ONLINE x BreakAdvice,2021-03-11,4728,201.0,,0.463
319,BBOY ZOOPREME | MUSIC IN HIS SOUL 🎶,2021-09-22,1356,6.0,,0.498
323,BBOY ZOOTY ZOOT | AMAZING FLOW 🌊,2021-09-14,2902,14.0,,0.495
326,Bboy music 2021- run it,2021-10-02,43,-4.0,,0.409
327,Red Bull BC One B-Boy Cypher Japan 2021 | LIVESTREAM,2021-09-26,50041,2.0,,0.497
346,bboy shigekix #shorts,2021-10-02,10,-4.0,,0.505
347,"BBOY MENNO ""ALGORITHM"" | EVOLUTION OF FLOW",2021-07-26,2364,64.0,,0.476
350,#ClubParis2024 - Défi breaking Bgirl Carlota & Bboy Lagaet,2020-09-08,1010,385.0,,0.562
355,BBOY ISSEI (KOSÉ 8ROCKS) Recap | 2020 & 2021 マイナビDANCE ALIVE HERO'S FINAL,2021-07-17,4628,73.0,,0.575
356,Bboy Mixtape / Bboy Mixtape 2021 / Fresh Bboy Music,2021-10-01,716,-3.0,,0.547
357,B-Boy Neguin's BEST moments | 10 YEARS of Red Bull BC One All Stars,2021-03-18,494806,194.0,,0.435
365,"BBOY MACHINE ""STILL HUNGRY"" | ALWAYS 100%",2021-08-04,438,55.0,,0.477
376,TOP SETS of JeonJu Bboy Grand Prix 2021 (전주 비보이 그랑프리 2021 명장면) | KoreanRoc.,2021-05-31,8098,120.0,,0.473
383,BBOY RUSH // PRACTICE SESSION,2021-09-23,487,5.0,,0.518
391,practice 💪.    #like #youtube #breaking #bboynickindia #bboying #bboy #practice,2021-10-02,565,-4.0,,0.4
393,Fusik - Cypher Black | BBOY BEAT | BreakBeat | BBOY MUSIC 2021,2021-10-01,125,-3.0,,0.531
397,djblesOne - save me | BBOY BEAT | BreakBeat | BBOY MUSIC 2021,2021-10-02,102,-4.0,,0.498
418,How to Breakdance | 6 Step | Footwork 101,2011-09-19,3262926,3662.0,,0.428
428,BC One Squad vs Masters of Murda [top 4] // stance // BBOY CITY 2021,2021-09-28,7958,0.0,,0.497
431,B-Boy Nord Diamond vs. B-Boy Tirock | Outbreak Europe | The Legits Blast 2021,2021-07-26,27517,64.0,,0.465
434,B-Boy Shaymin vs. B-Boy Moa | Red Bull BC One Cypher Switzerland B-Boy Final Breaking Battle,2019-10-02,11124,727.0,,0.564
439,TOP SET BBOY POWERMOVE ☆ MOST FAMOUS,2021-08-26,2438,33.0,,0.496
449,New! BBOY ICEY IVES // RAW PRACTICE SESSION,2021-10-01,383,-3.0,,0.567
476,BBOY KASTRITO Recap | Champion | Powermoves Battle | Red Bull BC One Camp USA 2021,2021-08-24,1557,35.0,,0.43
477,EPIC SONGS OF REDBULL BC ONE | BBOY MUSIC 2021,2021-05-12,8858,139.0,,0.542
482,B-Boy Junior | World Bboy Classic Feature Series,2020-09-09,3470,384.0,,0.412
487,Plasteed - Black Magic | BBOY BEAT | BreakBeat | BBOY MUSIC 2021,2021-10-02,144,-4.0,,0.5
492,Bboy Music / Dj Ice T - Boty 2008 / Bboy Mixtape,2021-09-11,1711,17.0,,0.411
494,Bboy Sunni at World Bboy Classic 2018,2018-07-17,22325,1169.0,,0.595
504,Bboyworld Mixtape // Bboy World,2017-09-13,4037,1476.0,,0.467
521,Bboy Froz practice,2021-10-02,12,-4.0,,0.429
527,Bboy Pac Pac | Best Moments (Compilation),2021-09-01,4424,27.0,,0.456
531,WORLD BBOY CLASSIC 2019 | OFFICIAL GREAT 8,2019-08-26,7351,764.0,,0.414
533,Bboy Beginner Tutorial | How to Instantly Improve Your Footwork | BreakDance Decoded,2015-09-28,55931,2192.0,,0.505
541,Bboy Music Mixtape 2021 // Breaking Battle & Chyper Mix,2021-09-30,2603,-2.0,,0.407
542,BBOY TAISUKE // RARE FOOTAGES,2021-09-08,3364,20.0,,0.4
545,10 Craziest momments / bboy Junior Redbull Bc One Allstar,2021-05-06,713,145.0,,0.486
552,JBL Unbreakable 2021- 1vs1 Bboy Semi final Nord Diamond vs Amir,2021-09-20,5571,8.0,,0.597
566,BBOY MORRIS Recap | Champion | Red Bull BC One Cypher USA 2021,2021-08-22,1833,37.0,,0.47
567,BBOY LIL ZOO - TOP 10 SET,2021-08-15,3388,44.0,,0.504
580,BBOY ZTIMPY VS BBOY MATITA//BREAK X GRAND JAM 2021 //TOP 32 BATTLE// AND NEXT DAY CALL OUT BY MATITA,2021-04-25,3508,156.0,,0.419
582,Dj Nobunaga | Rusya Jam Crew | Bboy Music 4 Life 2018,2018-01-14,1014836,1353.0,,0.419
589,BBOY ISSEI - Top 10 Sets,2017-07-01,460635,1550.0,,0.438
591,BBOY - Copão Na Minha Mão (Freestyle),2021-01-01,5453,270.0,,0.424
599,Bboy Luka | BELIEVE |  Red Bull BC ONE 2018 Training,2018-09-10,6308,1114.0,,0.531
605,Red bull Cypher Fortaleza 2021 Bboy denner vs Bboy.??,2021-09-12,453,16.0,,0.482
610,POWERMOVES BBOY TARCIO 🔥,2021-03-26,303,186.0,,0.496
618,How to Breakdance | 2 Step | Footwork 101,2012-01-12,298184,3547.0,,0.45
619,Gusen vs Lil Jam | Final | Bboy 1on1 | Invincible Breaking Jam 2021,2021-05-18,2022,133.0,,0.526
630,JBL Unbreakable 2021- 1vs1 Bboy Final Mighty Jim vs Amir,2021-09-20,8167,8.0,,0.419
631,Bboy Music / Cypher Bboy Mixtape for Traning 🔥 Vol.8,2021-09-29,516,-1.0,,0.414
637,bboy hill #shorts,2021-09-29,201,-1.0,,0.405
645,BBOY CREW BATTLE 5 VS 5 | FINAL | IBE 2016,2016-08-07,167385,1878.0,,0.514
648,"Recap Bboy Pocket & Bboy Kill ""Seoul Killer"" | BBIC Korea 2021",2021-09-14,10743,14.0,,0.53
653,HEAD SPIN BATTLE　BBOY KAKU　vs　BBOY TSUKKI　/　Red Bull BC One 2017 Japan Cypher,2017-08-06,341490,1514.0,,0.52
673,2016 BBOY G NON SUMMER PRACTICE OUTDOOR,2016-11-11,4066,1782.0,,0.527
675,B-Boy Harlekin vs. B-Boy Cicov | Final | Red Bull BC One Cypher Austria 2019,2019-04-14,20924,898.0,,0.49
679,BBoy Francklin VS BBoy Tsong - Battle One One World Finals,2020-09-26,4335,367.0,,0.549
685,bboy 2000s practice,2021-10-01,6,-3.0,,0.429
688,B-Boy Lil Zoo vs. B-Boy Alkolil | BREAK THE GAME | Season 6,2021-03-12,753625,200.0,,0.558
694,BBOY KHALIL (Legiteam Obstruxion) Recap | Championnat De France Breaking 2021,2021-09-05,1737,23.0,,0.447
697,法國最強但也最沒品的戰神! Bboy Lilou! Reaction to B-Boy Lilou vs B-Boy Alcolil Red Bull BC One World Final 2014,2020-09-23,25107,370.0,,0.547
709,Bboy Menno | Trailer | Greatest World Champion 🔥,2021-08-06,4122,53.0,,0.44
716,BBoy Shlag VS BBoy Marswater - Battle One One World Finals,2020-09-26,2636,367.0,,0.565
733,C Lil vs Shlag // .BBoy World // BBOY 1on1 EIGHT-FINAL | HIP OPSESSION 2015,2015-02-23,11805,2409.0,,0.431
737,B-Boy Lil Zoo vs B-Boy Alkolil | Semifinal | Red Bull BC One World Final Austria 2020,2020-11-29,90590,303.0,,0.471
