,title,upload_date,view_count,tempo_desde_pub,y
0,How to Breakdance : CC's Breakdancing Footwork,2008-10-25,735081,4721.0,1
1,Breakdance The Movie AKA Breakin - First Battle with Electro Rock,2009-06-14,658147,4489.0,0
2,Jakub Józef Orliński - Breakdancing & Opera | Classic FM Meets,2019-09-16,102757,743.0,0
3,free fire break dance video😜😆😆,2021-10-02,6,-4.0,0
4,¡Pase de Oro! El break dance extremo conquista a Santi | Audiciones 1 | Got Talent España 2017,2017-01-22,3134585,1710.0,0
5,Bboy Jeffro at Unbreakable 2021,2021-09-27,1354,1.0,1
6,SymphoBreaks (Awesome Energy) - Freestyle Megamix,2014-12-23,4467716,2471.0,0
7,HUMILIÉ PAR DES ABONNÉS AU BREAK DANCE !!,2017-04-23,2354848,1619.0,0
8,Breakdance - Coletânea Pop Internacional - (Vinil Completo - 1984) - Baú Musical,2020-05-20,24486,496.0,0
9,"Miami Cops Stop Dancers in Mall, Then Break It Down",2018-12-17,11933124,1016.0,0
10,BBOY PAC PAC 🇫🇷 2019,2019-11-21,6789,677.0,1
11,Break Dancing to be a sport at Olympics 2024,2020-12-22,10031,280.0,1
12,B-Boy Shane vs. B-Boy Nazgul | Red Bull BC One Cypher Holland 2021,2021-09-28,4508,0.0,1
13,Round for breakdance federation of India 2021|| Bboy wildchild,2021-10-03,12,-5.0,0
14,Bboy Battle 2021| Breakin'Vasion After Jam | Keep It Raw | Hip Hop India | Day 1 | New Delhi | P3,2021-10-03,2,-5.0,1
15,respect😱 Break Dance Power Moves🥶💯,2021-10-02,49,-4.0,1
16,Breakdancing Kitty,2021-09-27,314,1.0,0
17,TOP SETS | BBOY ZOOPREME,2020-09-16,36715,377.0,1
18,80s breakdancing on us tv,2008-09-27,2639451,4749.0,0
19,Tropical Battle 2021 Bboy Maurício vs Bboy Ceará,2021-03-07,271,205.0,1
20,break dancer player send me request#breakdance#freefireshorts#shorts#short#gyangaming#raistar#viral,2021-10-01,550,-3.0,0
21,TOP 10 Kill the Beat in Breakdance,2018-04-26,4659423,1251.0,1
22,The Basics of Breakdancing,2020-12-18,318,284.0,0
23,Tropical Battle 2021 Bboy Gaara vs  Bboy Ahiru,2021-03-08,264,204.0,0
24,Break Dance - Hainlein (Offride) Video Oktoberfest Herbstspektakel Hannover 2021,2021-09-30,1402,-2.0,0
25,"HARDER, BETTER, FASTER, STRONGER",2018-09-22,2911882,1102.0,0
26,Fingers Breakdance 5,2010-05-01,68285012,4168.0,0
27,BREAK DANCER REACTS: BTS 방탄소년단 DANGER (DANCE PRACTICE),2016-09-25,4710750,1829.0,0
28,Индийский Брейк/Indian Break Dance 1987,2009-11-22,718212,4328.0,0
29,Bboy Battle Mix 🔥,2019-06-07,650071,844.0,0
30,NEWCLEUS - JAM ON IT,2010-09-05,52271739,4041.0,0
31,Kid Dynamite Vs Lorenzo - Finals  Youth Battle - Silverback Open 2018 - Pro Breaking Tour - BNC,2018-10-31,4128292,1063.0,1
32,TOP 10 Kill the Beat in Breakdance,2018-04-26,4659423,1251.0,1
33,10 Bboy Battle Songs for Red Bull BC One Final 2017,2017-05-18,434384,1594.0,1
34,New! BBOY PHYSICX // RAW PRACTICE SESSION,2021-09-28,2575,0.0,0
35,Where them girls at  miraculous Ladybug Break Dance AU AMV,2016-12-31,5272033,1732.0,0
36,Fotomachine - BBOY,2020-03-17,3137,560.0,0
37,BrEaK dAnCe WIP,2021-10-03,1,-5.0,0
38,The breakdancing opera star of Glyndebourne | Sunday Times Culture,2019-08-12,70120,778.0,0
39,Bboy ' Basic Toprock ' Training Mix,2019-11-27,70388,671.0,0
40,Bboy Wing @ Radikal Forze Jam 2018,2021-03-10,4294,202.0,1
41,Break Dance In Jeeto Pakistan - Must Watch :D,2017-07-03,1910034,1548.0,0
42,Break Dance - Hentrich (Offride) Video Oktoberfest Erfurt 2021,2021-10-02,379,-4.0,0
43,AIRFLARE TUTORIAL | Master the Airflare | Learn to Breakdance,2020-02-27,308492,579.0,1
44,BBOY IGRI BOZZ || WORLD BBOY CLASSIC 2017,2017-06-20,2507,1561.0,1
45,BBoy Lorenzo - Breakdance - TIME TO DANCE,2018-05-11,7172608,1236.0,1
46,Free Fire Live Extremathon - Permanent Cupid Scar & Break Dancer Bundle Giveaway,2020-06-28,2511473,457.0,0
47,B-Boy Lil Zoo vs. B-Boy Onel | BREAK THE GAME | Season 6,2021-04-23,66387,158.0,1
48,Breakdancing could make Olympics debut at Paris 2024 | ITV News,2019-02-21,10636,950.0,0
49,BBOY VICTOR // PRACTICE SESSION,2021-07-16,3981,74.0,1
50,제 팔꿈치는 무적입니다  #Shorts #bboy #dance,2021-10-03,182,-5.0,0
51,BBOY PLUTO 🇺🇦 RUFFNECK ATTACK,2021-08-06,409,53.0,0
52,Bboy Ratin Trailer (Brazil/Killa Rockers),2021-01-10,1515,261.0,0
53,Brazil Beach- Amazon acrobatics Bboy Kapu [Rio De Janeiro],2018-09-10,16667,1114.0,0
54,Bboy Lilou is Back! Red Bull BC One Battle-X France 2021,2021-09-03,938,25.0,1
55,B-boy _ Dalas l'ecole ( clip officiel ) prod by : (  bnaslem ),2021-06-19,7477,101.0,0
56,💖Dance plus season 4 💖break dance 💞full screen WhatsApp status💞,2020-09-14,9627622,379.0,0
57,3 Famous Dance Moves | Footwork Tutorial in Hindi | Simple Hip Hop steps for beginners,2018-11-22,33546839,1041.0,0
58,bboy mario BBIC 2021 world final #shorts,2021-09-29,557,-1.0,0
59,Bboy Nookcingz ChillDays 2020,2021-10-01,0,-3.0,0
60,Lil Kev vs. Kid Colombia | Top 16 | Red Bull BC One World Final 2018,2018-09-30,2020429,1094.0,0
61,B-Boy Kid Karam | World Bboy Classic Feature Series,2020-09-17,1903,376.0,0
62,break dance Red Bull,2009-01-30,1122253,4624.0,0
63,B-Boy Kid Colombia | World Bboy Classic Feature Series,2020-10-07,2595,356.0,1
64,Bboy Mounir Trailer 2020 | Vagabonds Crew,2020-08-26,18803,398.0,0
65,"BBOY VICTOR & BBOY TAISUKE Recap | Red Bull Dance Tour Tokyo, Japan",2021-06-26,7122,94.0,0
66,Summer Heights High (DELETED SCENE) - Jonah - Breakdancing,2016-01-05,72327,2093.0,0
67,La jirafa que hace break-dance | BabyTV Español,2013-06-23,2330168,3019.0,0
68,YAKUZA 0: Breakdancing Majima,2017-01-27,1562,1705.0,0
69,[CHOREOGRAPHY] BTS (방탄소년단) Dance break Practice,2013-07-04,10940526,3008.0,0
70,Kastrito vs. Palmer + TIEBREAKER // BREAK FREE DAY 2021 // TOP 8 Bboy,2021-07-22,13860,68.0,0
71,"East side bboys VS Intact, Beetle, Johnny Fox",2021-06-06,1946,114.0,0
72,WTF old man breakdancing  (60 years old),2012-10-27,387190,3258.0,0
73,What slow Mo break dance,2021-09-30,294,-2.0,0
74,Bboy Amir at Unbreakable 2021,2021-09-25,7748,3.0,0
75,Bboy Dnilson x Bboy Mário bros | RED BULL BC ONE 2021,2021-09-23,61,5.0,1
76,TEAM MALAYSIA VS EAST RIDER CREW | Final Crew | Indonesia Bboy Championship 2018,2018-10-01,41447,1093.0,1
77,Kid Breaks World Record BREAKDANCE on Kids Got Talent China | Got Talent Global,2018-08-09,80753,1146.0,1
78,Free Fire Gold royale break dance bundle,2021-10-01,9,-3.0,0
79,“LOCO” - ITZY DANCE COVER (Chorus+Break dance),2021-10-01,1486,-3.0,0
80,Stepper vs Ozzi / BBOY TOP 8 / NK Breaking 2021,2021-09-15,5027,13.0,0
81,bboy  danny & bboy abhimanyu ❤ #bboy #bboying #bgirls #bboyworld #bboymusic #redbullbcone #power,2021-10-02,16,-4.0,0
82,Capoeira meets Breakdancing- BBoy Neguin Compilation Best of,2019-02-11,126382,960.0,1
83,Bboy Music Mixtape 2021 | Ultimate Bboy Breaks,2021-06-17,13839,103.0,1
84,Breakdancing midget scene from Adhisaya Piravi |  Rajinikanth,2020-01-24,23913,613.0,0
85,Breakdancing bug lol,2021-10-01,709,-3.0,0
86,ITZY 'LOCO' dance cover (break dance) #ITZY #LOCOChallenge #Shorts,2021-09-30,54,-2.0,0
87,Break-Dancing to Tchaikovsky in the Hip Hop Nutcracker,2016-12-20,75933,1743.0,0
88,THESIS vs. JEFF // BREAK X GRAND JAM 2021 // BBOY TOP 8,2021-04-25,38056,156.0,0
89,Breakdancing How to Baby Swipe Tutorial,2008-10-30,157815,4716.0,1
90,breakdancing facial expression lessons [HQ],2010-01-13,24695,4276.0,0
91,windmill ✨✌️ power moves 🌸. #windmill #fyptreding #viral #bboying #bboy,2021-10-02,6,-4.0,0
92,The funky business of kids’ competitive break dancing,2018-01-29,5513,1338.0,0
93,BBOY CICO(ITALY🇮🇹) POWERMOVES REMAKE 2021 1080p⁶⁰,2021-04-07,4380,174.0,1
94,respect best break dance movie moment #1 #shorts,2021-10-01,1138,-3.0,0
